code_id,name
275,tannin
202,pepsin A
255,liquid soap
77,tannin
237,liquid soap
257,glycerol
238,liquid soap
245,boiled egg
166,"watercolor, red"
169,"watercolor, brown"
163,watercolor
267,
209,milk
172,sodium polyacrylate
75,tannin
198,silver nitrate
225,silver nitrate
232,silver nitrate
243,aluminum foil
240,activated carbon
40,graphite
130,sugar cube
129,granulated sugar
51,sucrose
154,methylene blue
231,methylene blue
156,methylene blue
159,eosin
160,eosin
180,thymol blue
222,thymol blue
258,thymol blue
80,thymol blue
78,thymol blue
190,hard liquor
264,
105,glycerol
102,glycerol
183,tartaric acid
24,hexamethylene-tetramine
83,citric acid
63,ascorbic acid
85,citric acid
106,citric acid
165,citric acid
86,citric acid
175,sodium benzoate
142,luminol 
149,luminol 
207,ninhydrin
212,ninhydrin
215,calcium chloride
226,calcium chloride
204,calcium chloride
263,calcium nitrate
178,calcium nitrate
90,calcium hydroxide
89,calcium hydroxide
210,vinegar
36,sodium acetate
252,copper plate
201,copper powder
197,copper wire
187,copper(II) sulfate
3,copper(II) sulfate
270,copper (II) sulfate
12,copper(II) sulfate
114,iron bearings ball
9,steel wool
57,iron for disposal
18,iron
113,iron paper clip
111,iron nail
20,iron filings
15,iron(II) sulfate
66,iron(II) sulfate
46,distilled water
184,still water
277,mineral water
141,hydrogen peroxide
139,hydrogen peroxide
132,hydrochloric acid
65,hydrochloric acid
108,hydrochloric acid
221,iodine
30,iodine
72,iodine
144,potassium hexacyanoferrate(III)
147,potassium hexacyanoferrate(III)
71,potassium iodide
219,potassium iodide
92,potassium permanganate
33,potassium permanganate
189,magnesium
249,magnesium
39,manganese(IV) dioxide
95,sodium carbonate
96,sodium carbonate
34,disodium disulfite
68,disodium disulfite
99,sodium sulfate
260,sodium sulfate
6,sodium chloride
216,sodium chloride
101,sodium chloride
235,sodium chloride
228,sodium hydrogen carbonate
23,sodium hydrogen carbonate
54,sodium hydrogen sulfate
10,sodium hydrogen sulfate
120,sodium hydrogen sulfate
48,sodium hydrogen sulfate
170,sodium azide
116,sodium hydroxide
119,sodium hydroxide
136,ammonia solution
135,ammonia solution
177,ammonium carbonate
53,ammonium chloride
45,ammonium chloride
123,sulfur powder
17,tin(II) chloride
60,tin(II) chloride
250,zinc wire
58,zinc
43,zinc powder
195,zinc powder
269,zinc sulfate
272,zinc sulfate
246,zinc sulfate
192,zinc sulfate
153,lactose
150,lactose
